case_number,date,year,month,day_of_week,hour,community_area_name,victimization_primary,incident_primary,gunshot_injury_i,age,sex,race,is_homicide_victim,is_nonfatal_shooting_victim,is_gun_violence_victim
HL369706,2005-05-21 10:30:00,2005,5,7,10,ALBANY PARK,HOMICIDE,HOMICIDE,NO,20-29,M,WWH,1,0,1
HL466831,2005-07-06 18:05:00,2005,7,4,18,ALBANY PARK,HOMICIDE,HOMICIDE,YES,20-29,M,WWH,1,0,1
HL467259,2005-07-06 21:10:00,2005,7,4,21,ALBANY PARK,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL671923,2005-10-14 01:55:00,2005,10,6,1,ALBANY PARK,HOMICIDE,HOMICIDE,YES,30-39,M,WWH,1,0,1
HL242938,2005-03-18 23:35:00,2005,3,6,23,ARCHER HEIGHTS,HOMICIDE,HOMICIDE,YES,0-19,M,WWH,1,0,1
HL433283,2005-06-20 21:45:00,2005,6,2,21,ARCHER HEIGHTS,HOMICIDE,HOMICIDE,YES,20-29,M,WWH,1,0,1
HL641342,2005-09-28 17:39:00,2005,9,4,17,ARCHER HEIGHTS,HOMICIDE,HOMICIDE,YES,0-19,M,WHI,1,0,1
HL427901,2005-06-18 01:10:00,2005,6,7,1,ARMOUR SQUARE,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HL555606,2005-08-17 21:53:00,2005,8,4,21,ASHBURN,HOMICIDE,HOMICIDE,NO,20-29,M,BLK,1,0,1
HL557226,2005-08-18 18:40:00,2005,8,5,18,ASHBURN,HOMICIDE,HOMICIDE,YES,20-29,M,WHI,1,0,1
HL294194,2005-04-14 09:58:00,2005,4,5,9,AUBURN GRESHAM,HOMICIDE,HOMICIDE,NO,40-49,F,BLK,1,0,1
HL369348,2005-05-21 03:30:00,2005,5,7,3,AUBURN GRESHAM,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL429514,2005-06-18 21:23:00,2005,6,7,21,AUBURN GRESHAM,HOMICIDE,HOMICIDE,NO,20-29,M,BLK,1,0,1
HL437473,2005-06-22 17:55:00,2005,6,4,17,AUBURN GRESHAM,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HL467655,2005-07-07 03:39:00,2005,7,5,3,AUBURN GRESHAM,HOMICIDE,HOMICIDE,YES,40-49,M,BLK,1,0,1
HL524860,2005-08-03 01:46:00,2005,8,4,1,AUBURN GRESHAM,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HL590360,2005-09-03 23:59:00,2005,9,7,23,AUBURN GRESHAM,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL606337,2005-09-11 23:07:00,2005,9,1,23,AUBURN GRESHAM,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL618390,2005-09-17 16:53:00,2005,9,7,16,AUBURN GRESHAM,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL627779,2005-09-22 06:28:00,2005,9,5,6,AUBURN GRESHAM,HOMICIDE,HOMICIDE,NO,30-39,M,BLK,1,0,1
HL157968,2005-02-02 08:00:00,2005,2,4,8,AUSTIN,HOMICIDE,HOMICIDE,NO,60-69,M,BLK,1,0,1
HL194667,2005-02-21 21:54:00,2005,2,2,21,AUSTIN,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HL216209,2005-03-05 02:35:00,2005,3,7,2,AUSTIN,HOMICIDE,HOMICIDE,NO,30-39,F,BLK,1,0,1
HL232949,2005-03-14 01:23:00,2005,3,2,1,AUSTIN,HOMICIDE,HOMICIDE,YES,40-49,F,BLK,1,0,1
HL236216,2005-03-15 15:30:00,2005,3,3,15,AUSTIN,HOMICIDE,HOMICIDE,YES,40-49,M,WWH,1,0,1
HL238378,2005-03-16 18:20:00,2005,3,4,18,AUSTIN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL242006,2005-03-18 15:07:00,2005,3,6,15,AUSTIN,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HL249429,2005-03-22 16:47:00,2005,3,3,16,AUSTIN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL268144,2005-04-01 14:05:00,2005,4,6,14,AUSTIN,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HL289126,2005-04-11 19:39:00,2005,4,2,19,AUSTIN,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HL296055,2005-04-15 05:00:00,2005,4,6,5,AUSTIN,HOMICIDE,HOMICIDE,NO,20-29,M,BLK,1,0,1
HL336157,2005-05-05 02:37:00,2005,5,5,2,AUSTIN,HOMICIDE,HOMICIDE,NO,20-29,M,BLK,1,0,1
HL355369,2005-05-14 02:25:00,2005,5,7,2,AUSTIN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL360798,2005-05-17 00:25:00,2005,5,3,0,AUSTIN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL369158,2005-05-21 00:50:00,2005,5,7,0,AUSTIN,HOMICIDE,HOMICIDE,NO,20-29,M,BLK,1,0,1
HL412899,2005-06-11 03:34:00,2005,6,7,3,AUSTIN,HOMICIDE,HOMICIDE,YES,20-29,F,BLK,1,0,1
HL421238,2005-06-14 20:23:00,2005,6,3,20,AUSTIN,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HL423726,2005-06-16 01:41:00,2005,6,5,1,AUSTIN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL437234,2005-06-22 02:00:00,2005,6,4,2,AUSTIN,HOMICIDE,HOMICIDE,NO,80+,M,BLK,1,0,1
HL449677,2005-06-28 15:15:00,2005,6,3,15,AUSTIN,HOMICIDE,HOMICIDE,YES,40-49,M,BLK,1,0,1
HL459802,2005-07-03 10:15:00,2005,7,1,10,AUSTIN,HOMICIDE,HOMICIDE,NO,50-59,F,BLK,1,0,1
HL467408,2005-07-07 00:00:00,2005,7,5,0,AUSTIN,HOMICIDE,HOMICIDE,NO,30-39,M,BLK,1,0,1
HL539309,2005-08-09 23:15:00,2005,8,3,23,AUSTIN,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HL541246,2005-08-10 20:54:00,2005,8,4,20,AUSTIN,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HL546673,2005-08-13 00:00:00,2005,8,7,0,AUSTIN,HOMICIDE,HOMICIDE,NO,0-19,F,BLK,1,0,1
HL582086,2005-08-30 22:34:00,2005,8,3,22,AUSTIN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL591154,2005-09-04 12:34:00,2005,9,1,12,AUSTIN,HOMICIDE,HOMICIDE,YES,30-39,M,BLK,1,0,1
HL603073,2005-09-10 10:46:00,2005,9,7,10,AUSTIN,HOMICIDE,HOMICIDE,YES,40-49,M,BLK,1,0,1
HL640029,2005-09-28 02:41:00,2005,9,4,2,AUSTIN,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HL646747,2005-10-01 12:43:00,2005,10,7,12,AUSTIN,HOMICIDE,HOMICIDE,YES,40-49,M,BLK,1,0,1
HL673888,2005-10-15 00:35:00,2005,10,7,0,AUSTIN,HOMICIDE,HOMICIDE,NO,20-29,F,BLK,1,0,1
HL716166,2005-11-04 22:32:00,2005,11,6,22,AUSTIN,HOMICIDE,HOMICIDE,YES,0-19,M,BLK,1,0,1
HL749206,2005-11-22 06:26:00,2005,11,3,6,AUSTIN,HOMICIDE,HOMICIDE,YES,40-49,M,WWH,1,0,1
HL765006,2005-12-01 08:28:00,2005,12,5,8,AUSTIN,HOMICIDE,HOMICIDE,NO,30-39,M,BLK,1,0,1
HL785364,2005-12-12 16:00:00,2005,12,2,16,AUSTIN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
HL786202,2005-12-13 00:07:00,2005,12,3,0,AUSTIN,HOMICIDE,HOMICIDE,YES,20-29,M,BLK,1,0,1
