community_area_number,community_area_name,year,homicide_victims,nonfatal_shooting_victims,total_gun_violence_victims
1,ROGERS PARK,2005,6,0,6
2,WEST RIDGE,2005,2,0,2
3,UPTOWN,2005,0,0,0
4,LINCOLN SQUARE,2005,3,0,3
5,NORTH CENTER,2005,1,0,1
6,LAKE VIEW,2005,2,0,2
7,LINCOLN PARK,2005,1,0,1
8,NEAR NORTH SIDE,2005,13,0,13
9,EDISON PARK,2005,0,0,0
10,NORWOOD PARK,2005,0,0,0
11,JEFFERSON PARK,2005,0,0,0
12,FOREST GLEN,2005,1,0,1
13,NORTH PARK,2005,0,0,0
14,ALBANY PARK,2005,4,0,4
15,PORTAGE PARK,2005,0,0,0
16,IRVING PARK,2005,0,0,0
17,DUNNING,2005,0,0,0
18,MONTCLAIRE,2005,0,0,0
19,BELMONT CRAGIN,2005,11,0,11
20,HERMOSA,2005,3,0,3
21,AVONDALE,2005,3,0,3
22,LOGAN SQUARE,2005,9,0,9
23,HUMBOLDT PARK,2005,13,0,13
24,WEST TOWN,2005,4,0,4
25,AUSTIN,2005,37,0,37
26,WEST GARFIELD PARK,2005,13,0,13
27,EAST GARFIELD PARK,2005,7,0,7
28,NEAR WEST SIDE,2005,8,0,8
29,NORTH LAWNDALE,2005,24,0,24
30,SOUTH LAWNDALE,2005,12,0,12
31,LOWER WEST SIDE,2005,4,0,4
32,LOOP,2005,1,0,1
33,NEAR SOUTH SIDE,2005,0,0,0
34,ARMOUR SQUARE,2005,1,0,1
35,DOUGLAS,2005,8,0,8
36,OAKLAND,2005,2,0,2
37,FULLER PARK,2005,1,0,1
38,GRAND BOULEVARD,2005,5,0,5
39,KENWOOD,2005,1,0,1
40,WASHINGTON PARK,2005,10,0,10
41,HYDE PARK,2005,3,0,3
42,WOODLAWN,2005,7,0,7
43,SOUTH SHORE,2005,23,0,23
44,CHATHAM,2005,13,0,13
45,AVALON PARK,2005,2,0,2
46,SOUTH CHICAGO,2005,6,0,6
47,BURNSIDE,2005,1,0,1
48,CALUMET HEIGHTS,2005,0,0,0
49,ROSELAND,2005,11,0,11
50,PULLMAN,2005,4,0,4
51,SOUTH DEERING,2005,6,0,6
52,EAST SIDE,2005,0,0,0
53,WEST PULLMAN,2005,18,0,18
54,RIVERDALE,2005,2,0,2
55,HEGEWISCH,2005,1,0,1
56,GARFIELD RIDGE,2005,4,0,4
57,ARCHER HEIGHTS,2005,3,0,3
58,BRIGHTON PARK,2005,5,0,5
59,MCKINLEY PARK,2005,0,0,0
60,BRIDGEPORT,2005,0,0,0
61,NEW CITY,2005,15,0,15
62,WEST ELSDON,2005,1,0,1
63,GAGE PARK,2005,10,0,10
64,CLEARING,2005,2,0,2
65,WEST LAWN,2005,3,0,3
66,CHICAGO LAWN,2005,13,0,13
67,WEST ENGLEWOOD,2005,20,0,20
68,ENGLEWOOD,2005,16,0,16
69,GREATER GRAND CROSSING,2005,21,0,21
70,ASHBURN,2005,2,0,2
71,AUBURN GRESHAM,2005,10,0,10
72,BEVERLY,2005,0,0,0
73,WASHINGTON HEIGHTS,2005,5,0,5
74,MOUNT GREENWOOD,2005,1,0,1
75,MORGAN PARK,2005,1,0,1
76,O'HARE,2005,0,0,0
77,EDGEWATER,2005,7,0,7
1,ROGERS PARK,2006,3,0,3
2,WEST RIDGE,2006,2,0,2
3,UPTOWN,2006,3,0,3
4,LINCOLN SQUARE,2006,0,0,0
5,NORTH CENTER,2006,1,0,1
6,LAKE VIEW,2006,1,0,1
7,LINCOLN PARK,2006,0,0,0
8,NEAR NORTH SIDE,2006,4,0,4
9,EDISON PARK,2006,0,0,0
10,NORWOOD PARK,2006,0,0,0
11,JEFFERSON PARK,2006,1,0,1
12,FOREST GLEN,2006,0,0,0
13,NORTH PARK,2006,0,0,0
14,ALBANY PARK,2006,0,0,0
15,PORTAGE PARK,2006,2,0,2
16,IRVING PARK,2006,2,0,2
17,DUNNING,2006,0,0,0
18,MONTCLAIRE,2006,1,0,1
19,BELMONT CRAGIN,2006,5,0,5
20,HERMOSA,2006,3,0,3
21,AVONDALE,2006,8,0,8
22,LOGAN SQUARE,2006,8,0,8
23,HUMBOLDT PARK,2006,24,0,24
24,WEST TOWN,2006,7,0,7
25,AUSTIN,2006,33,0,33
26,WEST GARFIELD PARK,2006,12,0,12
27,EAST GARFIELD PARK,2006,13,0,13
28,NEAR WEST SIDE,2006,13,0,13
29,NORTH LAWNDALE,2006,26,0,26
30,SOUTH LAWNDALE,2006,11,0,11
31,LOWER WEST SIDE,2006,5,0,5
32,LOOP,2006,1,0,1
33,NEAR SOUTH SIDE,2006,4,0,4
34,ARMOUR SQUARE,2006,1,0,1
35,DOUGLAS,2006,2,0,2
36,OAKLAND,2006,0,0,0
37,FULLER PARK,2006,2,0,2
38,GRAND BOULEVARD,2006,4,0,4
39,KENWOOD,2006,1,0,1
40,WASHINGTON PARK,2006,8,0,8
41,HYDE PARK,2006,2,0,2
42,WOODLAWN,2006,7,0,7
43,SOUTH SHORE,2006,18,0,18
44,CHATHAM,2006,12,0,12
45,AVALON PARK,2006,4,0,4
46,SOUTH CHICAGO,2006,13,0,13
47,BURNSIDE,2006,0,0,0
48,CALUMET HEIGHTS,2006,4,0,4
49,ROSELAND,2006,20,0,20
50,PULLMAN,2006,1,0,1
51,SOUTH DEERING,2006,2,0,2
52,EAST SIDE,2006,6,0,6
53,WEST PULLMAN,2006,15,0,15
54,RIVERDALE,2006,8,0,8
55,HEGEWISCH,2006,0,0,0
56,GARFIELD RIDGE,2006,1,0,1
57,ARCHER HEIGHTS,2006,0,0,0
58,BRIGHTON PARK,2006,7,0,7
59,MCKINLEY PARK,2006,2,0,2
60,BRIDGEPORT,2006,3,0,3
61,NEW CITY,2006,17,0,17
62,WEST ELSDON,2006,3,0,3
63,GAGE PARK,2006,7,0,7
64,CLEARING,2006,1,0,1
65,WEST LAWN,2006,3,0,3
66,CHICAGO LAWN,2006,14,0,14
67,WEST ENGLEWOOD,2006,20,0,20
68,ENGLEWOOD,2006,15,0,15
69,GREATER GRAND CROSSING,2006,22,0,22
70,ASHBURN,2006,0,0,0
71,AUBURN GRESHAM,2006,18,0,18
72,BEVERLY,2006,0,0,0
73,WASHINGTON HEIGHTS,2006,13,0,13
74,MOUNT GREENWOOD,2006,0,0,0
75,MORGAN PARK,2006,2,0,2
76,O'HARE,2006,1,0,1
77,EDGEWATER,2006,2,0,2
1,ROGERS PARK,2007,3,0,3
2,WEST RIDGE,2007,8,0,8
3,UPTOWN,2007,5,0,5
4,LINCOLN SQUARE,2007,1,0,1
5,NORTH CENTER,2007,0,0,0
6,LAKE VIEW,2007,6,0,6
7,LINCOLN PARK,2007,1,0,1
8,NEAR NORTH SIDE,2007,2,0,2
9,EDISON PARK,2007,0,0,0
10,NORWOOD PARK,2007,2,0,2
11,JEFFERSON PARK,2007,1,0,1
12,FOREST GLEN,2007,0,0,0
13,NORTH PARK,2007,0,0,0
14,ALBANY PARK,2007,3,0,3
15,PORTAGE PARK,2007,2,0,2
16,IRVING PARK,2007,2,0,2
17,DUNNING,2007,0,0,0
18,MONTCLAIRE,2007,0,0,0
19,BELMONT CRAGIN,2007,4,0,4
20,HERMOSA,2007,3,0,3
21,AVONDALE,2007,1,0,1
22,LOGAN SQUARE,2007,5,0,5
23,HUMBOLDT PARK,2007,19,0,19
24,WEST TOWN,2007,8,0,8
25,AUSTIN,2007,35,0,35
26,WEST GARFIELD PARK,2007,14,0,14
27,EAST GARFIELD PARK,2007,7,0,7
28,NEAR WEST SIDE,2007,8,0,8
29,NORTH LAWNDALE,2007,8,0,8
30,SOUTH LAWNDALE,2007,19,0,19
31,LOWER WEST SIDE,2007,4,0,4
32,LOOP,2007,0,0,0
33,NEAR SOUTH SIDE,2007,3,0,3
34,ARMOUR SQUARE,2007,1,0,1
35,DOUGLAS,2007,4,0,4
36,OAKLAND,2007,0,0,0
37,FULLER PARK,2007,1,0,1
38,GRAND BOULEVARD,2007,7,0,7
39,KENWOOD,2007,2,0,2
40,WASHINGTON PARK,2007,11,0,11
41,HYDE PARK,2007,0,0,0
42,WOODLAWN,2007,6,0,6
43,SOUTH SHORE,2007,16,0,16
44,CHATHAM,2007,14,0,14
45,AVALON PARK,2007,2,0,2
46,SOUTH CHICAGO,2007,11,0,11
47,BURNSIDE,2007,2,0,2
48,CALUMET HEIGHTS,2007,3,0,3
49,ROSELAND,2007,17,0,17
50,PULLMAN,2007,1,0,1
51,SOUTH DEERING,2007,4,0,4
52,EAST SIDE,2007,1,0,1
53,WEST PULLMAN,2007,16,0,16
54,RIVERDALE,2007,3,0,3
55,HEGEWISCH,2007,2,0,2
56,GARFIELD RIDGE,2007,0,0,0
57,ARCHER HEIGHTS,2007,2,0,2
58,BRIGHTON PARK,2007,5,0,5
59,MCKINLEY PARK,2007,2,0,2
60,BRIDGEPORT,2007,4,0,4
61,NEW CITY,2007,17,0,17
62,WEST ELSDON,2007,2,0,2
63,GAGE PARK,2007,6,0,6
64,CLEARING,2007,2,0,2
65,WEST LAWN,2007,1,0,1
66,CHICAGO LAWN,2007,17,0,17
67,WEST ENGLEWOOD,2007,13,0,13
68,ENGLEWOOD,2007,22,0,22
69,GREATER GRAND CROSSING,2007,24,0,24
70,ASHBURN,2007,1,0,1
71,AUBURN GRESHAM,2007,15,0,15
72,BEVERLY,2007,0,0,0
73,WASHINGTON HEIGHTS,2007,15,0,15
74,MOUNT GREENWOOD,2007,0,0,0
75,MORGAN PARK,2007,1,0,1
76,O'HARE,2007,0,0,0
77,EDGEWATER,2007,1,0,1
1,ROGERS PARK,2008,5,0,5
2,WEST RIDGE,2008,0,0,0
3,UPTOWN,2008,4,0,4
4,LINCOLN SQUARE,2008,1,0,1
5,NORTH CENTER,2008,2,0,2
6,LAKE VIEW,2008,1,0,1
7,LINCOLN PARK,2008,0,0,0
8,NEAR NORTH SIDE,2008,5,0,5
9,EDISON PARK,2008,0,0,0
10,NORWOOD PARK,2008,1,0,1
11,JEFFERSON PARK,2008,1,0,1
12,FOREST GLEN,2008,0,0,0
13,NORTH PARK,2008,0,0,0
14,ALBANY PARK,2008,3,0,3
15,PORTAGE PARK,2008,1,0,1
16,IRVING PARK,2008,2,0,2
17,DUNNING,2008,0,0,0
18,MONTCLAIRE,2008,1,0,1
19,BELMONT CRAGIN,2008,5,0,5
20,HERMOSA,2008,4,0,4
21,AVONDALE,2008,4,0,4
22,LOGAN SQUARE,2008,7,0,7
23,HUMBOLDT PARK,2008,30,0,30
24,WEST TOWN,2008,9,0,9
25,AUSTIN,2008,40,0,40
26,WEST GARFIELD PARK,2008,16,0,16
27,EAST GARFIELD PARK,2008,11,0,11
28,NEAR WEST SIDE,2008,10,0,10
29,NORTH LAWNDALE,2008,17,0,17
30,SOUTH LAWNDALE,2008,21,0,21
31,LOWER WEST SIDE,2008,5,0,5
32,LOOP,2008,2,0,2
33,NEAR SOUTH SIDE,2008,1,0,1
34,ARMOUR SQUARE,2008,0,0,0
35,DOUGLAS,2008,4,0,4
36,OAKLAND,2008,0,0,0
37,FULLER PARK,2008,1,0,1
38,GRAND BOULEVARD,2008,9,0,9
39,KENWOOD,2008,2,0,2
40,WASHINGTON PARK,2008,9,0,9
41,HYDE PARK,2008,1,0,1
42,WOODLAWN,2008,7,0,7
43,SOUTH SHORE,2008,25,0,25
44,CHATHAM,2008,10,0,10
45,AVALON PARK,2008,3,0,3
46,SOUTH CHICAGO,2008,17,0,17
47,BURNSIDE,2008,2,0,2
48,CALUMET HEIGHTS,2008,3,0,3
49,ROSELAND,2008,20,0,20
50,PULLMAN,2008,0,0,0
51,SOUTH DEERING,2008,4,0,4
52,EAST SIDE,2008,3,0,3
53,WEST PULLMAN,2008,12,0,12
54,RIVERDALE,2008,5,0,5
55,HEGEWISCH,2008,1,0,1
56,GARFIELD RIDGE,2008,5,0,5
57,ARCHER HEIGHTS,2008,2,0,2
58,BRIGHTON PARK,2008,6,0,6
59,MCKINLEY PARK,2008,0,0,0
60,BRIDGEPORT,2008,2,0,2
61,NEW CITY,2008,15,0,15
62,WEST ELSDON,2008,1,0,1
63,GAGE PARK,2008,7,0,7
64,CLEARING,2008,2,0,2
65,WEST LAWN,2008,2,0,2
66,CHICAGO LAWN,2008,17,0,17
67,WEST ENGLEWOOD,2008,23,0,23
68,ENGLEWOOD,2008,19,0,19
69,GREATER GRAND CROSSING,2008,32,0,32
70,ASHBURN,2008,2,0,2
71,AUBURN GRESHAM,2008,19,0,19
72,BEVERLY,2008,1,0,1
73,WASHINGTON HEIGHTS,2008,6,0,6
74,MOUNT GREENWOOD,2008,0,0,0
75,MORGAN PARK,2008,5,0,5
76,O'HARE,2008,0,0,0
77,EDGEWATER,2008,4,0,4
1,ROGERS PARK,2009,3,0,3
2,WEST RIDGE,2009,2,0,2
3,UPTOWN,2009,1,0,1
4,LINCOLN SQUARE,2009,0,0,0
5,NORTH CENTER,2009,1,0,1
6,LAKE VIEW,2009,0,0,0
7,LINCOLN PARK,2009,2,0,2
8,NEAR NORTH SIDE,2009,1,0,1
9,EDISON PARK,2009,0,0,0
10,NORWOOD PARK,2009,0,0,0
11,JEFFERSON PARK,2009,0,0,0
12,FOREST GLEN,2009,1,0,1
13,NORTH PARK,2009,2,0,2
14,ALBANY PARK,2009,8,0,8
15,PORTAGE PARK,2009,0,0,0
16,IRVING PARK,2009,2,0,2
17,DUNNING,2009,1,0,1
18,MONTCLAIRE,2009,2,0,2
19,BELMONT CRAGIN,2009,2,0,2
20,HERMOSA,2009,3,0,3
21,AVONDALE,2009,1,0,1
22,LOGAN SQUARE,2009,7,0,7
23,HUMBOLDT PARK,2009,21,0,21
24,WEST TOWN,2009,13,0,13
25,AUSTIN,2009,41,0,41
26,WEST GARFIELD PARK,2009,12,0,12
27,EAST GARFIELD PARK,2009,16,0,16
28,NEAR WEST SIDE,2009,10,0,10
29,NORTH LAWNDALE,2009,22,0,22
30,SOUTH LAWNDALE,2009,12,0,12
31,LOWER WEST SIDE,2009,9,0,9
32,LOOP,2009,0,0,0
33,NEAR SOUTH SIDE,2009,2,0,2
34,ARMOUR SQUARE,2009,1,0,1
35,DOUGLAS,2009,2,0,2
36,OAKLAND,2009,1,0,1
37,FULLER PARK,2009,1,0,1
38,GRAND BOULEVARD,2009,12,0,12
39,KENWOOD,2009,2,0,2
40,WASHINGTON PARK,2009,4,0,4
41,HYDE PARK,2009,2,0,2
42,WOODLAWN,2009,9,0,9
43,SOUTH SHORE,2009,15,0,15
44,CHATHAM,2009,13,0,13
45,AVALON PARK,2009,1,0,1
46,SOUTH CHICAGO,2009,20,0,20
47,BURNSIDE,2009,5,0,5
48,CALUMET HEIGHTS,2009,2,0,2
49,ROSELAND,2009,12,0,12
50,PULLMAN,2009,2,0,2
51,SOUTH DEERING,2009,6,0,6
52,EAST SIDE,2009,3,0,3
53,WEST PULLMAN,2009,8,0,8
54,RIVERDALE,2009,2,0,2
55,HEGEWISCH,2009,0,0,0
56,GARFIELD RIDGE,2009,3,0,3
57,ARCHER HEIGHTS,2009,3,0,3
58,BRIGHTON PARK,2009,7,0,7
59,MCKINLEY PARK,2009,0,0,0
60,BRIDGEPORT,2009,0,0,0
61,NEW CITY,2009,11,0,11
62,WEST ELSDON,2009,0,0,0
63,GAGE PARK,2009,6,0,6
64,CLEARING,2009,1,0,1
65,WEST LAWN,2009,1,0,1
66,CHICAGO LAWN,2009,16,0,16
67,WEST ENGLEWOOD,2009,20,0,20
68,ENGLEWOOD,2009,19,0,19
69,GREATER GRAND CROSSING,2009,17,0,17
70,ASHBURN,2009,5,0,5
71,AUBURN GRESHAM,2009,17,0,17
